date	ontario	other	total
2010q1	7.16344019057482	13.0080343750612	9.85760210843798
2010q2	8.1326582182343	18.3027035155607	13.3143032503553
2010q3	10.4802450036996	12.0095341776534	11.2492484065246
2010q4	0.819569645230134	1.69075592666497	1.23670882763403
2011q1	-3.72029054711743	-3.02703947951422	-3.39156074052771
2011q2	0.142845223533872	-6.33380844864367	-3.30228293589172
2011q3	4.86182063286262	-2.99674896556391	0.88313105084985
2011q4	6.49176713366841	2.4315474753082	4.53894384815965
2012q1	11.8201158966516	3.64920563116569	7.93096703387755
2012q2	7.06048605151244	8.16085965507087	7.62745792247878
2012q3	5.11568684629902	8.82231014043608	6.92012807171967
2012q4	7.48008975954373	6.27926389540729	6.91417753619285
2013q1	-0.027096305377805	2.58409600824239	1.16645995242997
2013q2	1.82336351925312	0.099449928823803	0.930708008848269
2013q3	-5.03234231144148	0.417258516848973	-2.33219503377009
2013q4	-2.826067927552	-1.95580905685254	-2.41837728989543
2014q1	-2.20491078669095	0.330357534277059	-1.02981992834279
2014q2	-1.72154720933175	0.887524919181515	-0.381676622587779
2014q3	4.51665532664733	1.15151383014025	2.80237033042297
2014q4	3.37599121118437	3.41457663974718	3.39415303418997
2015q1	8.60649767357338	2.67637210507039	5.82012368762836
2015q2	7.34737908435217	-4.08094576464741	1.40366945939174
2015q3	5.85772503847075	-3.9295602540103	0.951909658838246
2015q4	7.71846566957743	-8.76125900613193	-0.039928507797205
2016q1	6.61153435973614	-10.6731325331711	-1.26869361905682
2016q2	8.51029039093001	-8.28205730173697	0.249194896450211
2016q3	ND	ND	ND
2016q4	ND	ND	ND
